,ht,len,chest,weight,sidewither,sidelength,girth,ADAPTMapKGS,ADAPTMapLBS
ht,1.0,0.9173363593592823,0.8175641567300708,0.763870476935213,0.9355650800216919,0.8754571433499831,0.7085122670766446,0.7792856485611136,0.7792856485665796
len,0.9173363593592823,1.0,0.9080147785161042,0.8691184689298106,0.8633930467212225,0.9443317209950737,0.8220266182554685,0.8885766312181701,0.8885766312084167
chest,0.8175641567300708,0.9080147785161042,1.0,0.9249096751608549,0.7521578081050492,0.9328835719483277,0.8686364235979979,0.9351397201380812,0.9351397201658461
weight,0.763870476935213,0.8691184689298106,0.9249096751608549,1.0,0.6831463195591952,0.8504561600655031,0.8021940795133073,0.886226631595616,0.8862266316031399
sidewither,0.9355650800216919,0.8633930467212225,0.7521578081050492,0.6831463195591952,1.0,0.8551915907251462,0.7328435170576961,0.7039399409504487,0.7039399409316721
sidelength,0.8754571433499831,0.9443317209950737,0.9328835719483277,0.8504561600655031,0.8551915907251462,1.0,0.8655387519313011,0.8915648381273164,0.8915648381316623
girth,0.7085122670766446,0.8220266182554685,0.8686364235979979,0.8021940795133073,0.7328435170576961,0.8655387519313011,1.0,0.8847053870675823,0.8847053870674942
ADAPTMapKGS,0.7792856485611136,0.8885766312181701,0.9351397201380812,0.886226631595616,0.7039399409504487,0.8915648381273164,0.8847053870675823,1.0,0.9999999999999999
ADAPTMapLBS,0.7792856485665796,0.8885766312084167,0.9351397201658461,0.8862266316031399,0.7039399409316721,0.8915648381316623,0.8847053870674942,0.9999999999999999,1.0
